[2025-07-27 01:29:36] INFO | SERVER | HOST_RESOLVE | Host: 192.168.0.2 | SERVER | ID:50222698
[2025-07-27 01:29:36] INFO | SERVER | SOCKET_CREATED | ServerSocket creado en puerto: 8080 | SERVER | ID:05438526
[2025-07-27 01:29:36] INFO | SERVER | STARTED | Servidor activo en 192.168.0.2:8080 | SERVER | ID:32043208
[2025-07-27 01:29:36] INFO | CONSOLE | THREAD_STARTED | Hilo de monitoreo iniciado | SERVER | ID:28244887
[2025-07-27 01:29:39] INFO | CLIENT | CONNECTION_ACCEPTED | /127.0.0.1:51626 | /127.0.0.1 | ID:44782896
[2025-07-27 01:29:39] DEBUG | SYSTEM | THREAD_CREATED | Hilo virtual para: /127.0.0.1:51626 | SERVER | ID:92689582
[2025-07-27 01:31:01] INFO | SERVER | SHUTDOWN | ServerSocket cerrado exitosamente | SERVER | ID:47677750
[2025-07-27 01:31:01] INFO | CONSOLE | THREAD_ENDED | Hilo de monitoreo terminado | SERVER | ID:25956783
[2025-07-27 01:32:29] INFO | SERVER | HOST_RESOLVE | Host: 192.168.0.2 | SERVER | ID:23372663
[2025-07-27 01:32:29] INFO | SERVER | SOCKET_CREATED | ServerSocket creado en puerto: 8080 | SERVER | ID:39801746
[2025-07-27 01:32:29] INFO | SERVER | STARTED | Servidor activo en 192.168.0.2:8080 | SERVER | ID:81466587
[2025-07-27 01:32:29] INFO | CONSOLE | THREAD_STARTED | Hilo de monitoreo iniciado | SERVER | ID:14902532
[2025-07-27 01:32:32] INFO | CLIENT | CONNECTION_ACCEPTED | /127.0.0.1:51639 | /127.0.0.1 | ID:17384232
[2025-07-27 01:32:32] DEBUG | SYSTEM | THREAD_CREATED | Hilo virtual para: /127.0.0.1:51639 | SERVER | ID:03259364
[2025-07-27 01:32:52] INFO | SERVER | SHUTDOWN | ServerSocket cerrado exitosamente | SERVER | ID:73418468
[2025-07-27 01:32:52] INFO | CONSOLE | THREAD_ENDED | Hilo de monitoreo terminado | SERVER | ID:16297324
[2025-07-27 01:32:53] INFO | SERVER | HOST_RESOLVE | Host: 192.168.0.2 | SERVER | ID:91897509
[2025-07-27 01:32:53] INFO | SERVER | SOCKET_CREATED | ServerSocket creado en puerto: 8080 | SERVER | ID:93882752
[2025-07-27 01:32:53] INFO | SERVER | STARTED | Servidor activo en 192.168.0.2:8080 | SERVER | ID:14051720
[2025-07-27 01:32:53] INFO | CONSOLE | THREAD_STARTED | Hilo de monitoreo iniciado | SERVER | ID:87455568
