[2025-07-27 19:16:07] DEBUG | CLIENT | COMMAND_RECEIVED | Comando recibido: MESSAGE | CLIENT | ID:40265640
[2025-07-27 19:16:07] INFO | CLIENT | MESSAGE_RECEIVED | Mensaje del servidor: Selección de archivo inválida | CLIENT | ID:96169296
[2025-07-27 19:16:07] DEBUG | CLIENT | COMMAND_RECEIVED | Comando recibido: MENU | CLIENT | ID:59260770
[2025-07-27 19:16:07] INFO | CLIENT | MENU_RECEIVED | Menú recibido: Archivos Disponibles para Descargar con 7 opciones | CLIENT | ID:45507365
[2025-07-27 19:16:07] DEBUG | CLIENT | COMMAND_RECEIVED | Comando recibido: OPTION | CLIENT | ID:57193396
[2025-07-27 19:16:11] INFO | CLIENT | OPTION_SENT | Opción enviada: -100 | CLIENT | ID:07735374
[2025-07-27 19:16:11] DEBUG | CLIENT | COMMAND_RECEIVED | Comando recibido: MESSAGE | CLIENT | ID:12765297
[2025-07-27 19:16:11] INFO | CLIENT | MESSAGE_RECEIVED | Mensaje del servidor: Selección de archivo inválida | CLIENT | ID:70792500
[2025-07-27 19:16:11] DEBUG | CLIENT | COMMAND_RECEIVED | Comando recibido: MENU | CLIENT | ID:20363814
[2025-07-27 19:16:11] INFO | CLIENT | MENU_RECEIVED | Menú recibido: Archivos Disponibles para Descargar con 7 opciones | CLIENT | ID:85130511
[2025-07-27 19:16:11] DEBUG | CLIENT | COMMAND_RECEIVED | Comando recibido: OPTION | CLIENT | ID:27620106
[2025-07-27 19:16:18] INFO | CLIENT | OPTION_SENT | Opción enviada: 1111 | CLIENT | ID:43872190
[2025-07-27 19:16:18] DEBUG | CLIENT | COMMAND_RECEIVED | Comando recibido: MESSAGE | CLIENT | ID:87673031
[2025-07-27 19:16:18] INFO | CLIENT | MESSAGE_RECEIVED | Mensaje del servidor: Selección de archivo inválida | CLIENT | ID:97903091
[2025-07-27 19:16:18] DEBUG | CLIENT | COMMAND_RECEIVED | Comando recibido: MENU | CLIENT | ID:11950997
[2025-07-27 19:16:18] INFO | CLIENT | MENU_RECEIVED | Menú recibido: Archivos Disponibles para Descargar con 7 opciones | CLIENT | ID:10461754
[2025-07-27 19:16:18] DEBUG | CLIENT | COMMAND_RECEIVED | Comando recibido: OPTION | CLIENT | ID:48697684
